"id","Marka_pojazdu","Model_pojazdu","Rok_produkcji","Przebieg","Pojemność_skokowa","Rodzaj_paliwa","Moc","Typ_nadwozia","Kolor","Cena"
"925","Suzuki","Swift","2014","121 000 km","1 242 cm3","Benzyna","90 KM","Auta miejskie","Szary","31900"
"926","BMW","X3","2021","18 800 km","1 998 cm3","Benzyna","184 KM","SUV","Szary","214900"
"927","Volvo","XC 60","2010","247 000 km","2 953 cm3","Benzyna","304 KM","SUV","Czarny","50900"
"928","BMW","X5 M","2015","249 000 km","2 993 cm3","Diesel","381 KM","SUV","Biały","184500"
"929","BMW","Seria 3","2017","90 000 km","1 998 cm3","Benzyna","252 KM","Sedan","Szary","72900"
"930","BMW","Seria 1","2016","69 900 km","1 496 cm3","Diesel","116 KM","Kompakt","Biały","74900"
"931","Volvo","S60","2004","290 000 km","2 435 cm3","Benzyna","140 KM","Sedan","Czarny","14900"
"932","Toyota","Camry","2006","303 610 km","3 500 cm3","Benzyna+LPG","272 KM","Sedan","Czarny","25830"
"933","BMW","Seria 3","2021","18 500 km","1 998 cm3","Hybryda","184 KM","Sedan","Czarny","219900"
"934","Alfa Romeo","Giulia","2018","30 500 km","1 995 cm3","Benzyna","280 KM","Sedan","Srebrny","149000"
"935","Citroën","C4 Picasso","2008","223 000 km","1 997 cm3","Diesel","136 KM","Minivan","Srebrny","15000"
"936","Audi","A1","2012","171 859 km","1 197 cm3","Benzyna","86 KM","Auta miejskie","Czarny","36500"
"937","Hyundai","I30","2020","39 341 km","1 498 cm3","Benzyna","110 KM","Kombi","Brązowy","63501"
"938","Volvo","Seria 900","1992","149 500 km","1 986 cm3","Benzyna","190 KM","Sedan","Czarny","36900"
"939","MINI","Countryman","2022","1 km","1 998 cm3","Benzyna","178 KM","SUV","Czarny","224000"
"940","Volvo","V50","2011","241 000 km","1 560 cm3","Diesel","115 KM","Kombi","Niebieski","22999"
"941","BMW","X2","2018","79 900 km","1 499 cm3","Benzyna","140 KM","SUV","Pomarańczowy","139900"
"942","Renault","Megane","2009","233 000 km","1 461 cm3","Diesel","85 KM","Kompakt","Bordowy","13500"
"943","Jaguar","XE","2018","45 647 km","1 997 cm3","Benzyna","250 KM","Sedan","Biały","99900"
"944","MINI","Countryman","2022","5 km","1 499 cm3","Benzyna","136 KM","SUV","Zielony","163000"
"945","Mercedes-Benz","GLC","2016","147 188 km","1 991 cm3","Benzyna","211 KM","SUV","Czarny","149000"
"946","Ford","Kuga","2015","268 762 km","1 997 cm3","Diesel","150 KM","SUV","Czarny","49500"
"947","Honda","CR-V","2011","229 000 km","2 199 cm3","Diesel","150 KM","SUV","Niebieski","46300"
"948","Volvo","XC 60","2015","122 000 km","1 969 cm3","Diesel","190 KM","SUV","Srebrny","86870"
"949","Opel","Astra","2019","49 500 km","1 496 cm3","Diesel","122 KM","Kombi","Srebrny","69000"
"950","Toyota","C-HR","2018","119 824 km","1 798 cm3","Hybryda","122 KM","SUV","Szary","90900"
"951","BMW","X3","2014","166 946 km","1 995 cm3","Diesel","190 KM","SUV","Czarny","81900"
"952","Kia","Soul","2016","164 556 km","1 582 cm3","Diesel","135 KM","SUV","Biały","49280"
"953","Suzuki","SX4 S-Cross","2013","140 030 km","1 598 cm3","Diesel","120 KM","SUV","Szary","43900"
"954","Volvo","S60","2011","122 246 km","1 560 cm3","Diesel","115 KM","Sedan","Czarny","39900"
"955","Kia","XCeed","2022","5 km","1 500 cm3","Benzyna","160 KM","Kompakt","Brązowy","108900"
"956","Renault","Talisman","2016","147 752 km","1 461 cm3","Diesel","110 KM","Kombi","Czarny","59900"
"957","Honda","CR-V","2017","14 489 km","1 997 cm3","Benzyna","155 KM","SUV","Srebrny","146900"
"958","Volkswagen","New Beetle","2001","190 000 km","1 781 cm3","Benzyna","150 KM","Auta miejskie","Srebrny","10900"
"959","Kia","Sportage","2022","5 km","1 598 cm3","Benzyna","150 KM","SUV","Zielony","163800"
"960","Hyundai","I30","2018","29 000 km","1 368 cm3","Benzyna","100 KM","Kompakt","Granatowy","49500"
"961","Mazda","6","2009","263 847 km","1 998 cm3","Diesel","140 KM","Kombi","Szary","21900"
"962","Kia","Sportage","2022","5 km","1 598 cm3","Benzyna","150 KM","SUV","Czarny","126800"
"963","Kia","Sportage","2022","5 km","1 598 cm3","Benzyna","150 KM","SUV","Biały","126800"
"964","Kia","Sportage","2020","14 579 km","1 591 cm3","Benzyna","177 KM","SUV","Niebieski","104900"
"965","Volkswagen","Tiguan","2015","187 000 km","1 984 cm3","Benzyna","190 KM","SUV","Biały","55900"
"966","Suzuki","SX4","2006","215 632 km","1 586 cm3","Benzyna","107 KM","Kompakt","Inny kolor","19700"
"967","Volvo","S80","2008","256 000 km","2 953 cm3","Benzyna+LPG","285 KM","Sedan","Czarny","34900"
"968","Honda","CR-V","2018","80 000 km","1 997 cm3","Benzyna","155 KM","SUV","Czarny","46800"
"969","Toyota","Yaris","2011","151 000 km","1 329 cm3","Benzyna","99 KM","Auta miejskie","Srebrny","24900"
"970","Hyundai","i40","2016","133 000 km","1 685 cm3","Diesel","141 KM","Sedan","Brązowy","60000"
"971","Hyundai","Kona","2022","1 km","998 cm3","Benzyna","120 KM","SUV","Biały","112100"
"972","Cadillac","CTS","2004","247 897 km","3 564 cm3","Benzyna","257 KM","Sedan","Srebrny","17900"
"973","Renault","Scenic","2012","237 300 km","1 461 cm3","Diesel","110 KM","Minivan","Brązowy","24900"
"974","Renault","Laguna","2007","370 000 km","1 998 cm3","Benzyna+LPG","135 KM","Kombi","Granatowy","12000"
"975","Hyundai","I30","2022","1 km","1 482 cm3","Benzyna","160 KM","Kombi","Beżowy","120800"
"976","MINI","Cooper","2003","243 957 km","1 598 cm3","Benzyna","115 KM","Auta małe","Srebrny","13900"
"977","Renault","Megane","2016","48 000 km","1 197 cm3","Benzyna","130 KM","Kompakt","Czarny","55000"
"978","Volvo","V40","2014","215 000 km","1 560 cm3","Diesel","115 KM","Kompakt","Czarny","38900"
"979","MINI","Cooper","2008","215 982 km","1 560 cm3","Diesel","110 KM","Auta miejskie","Niebieski","20900"
"980","MINI","Cooper","2016","69 800 km","1 499 cm3","Benzyna","136 KM","Auta miejskie","Inny kolor","58000"
"981","Volvo","XC 70","2012","275 623 km","1 984 cm3","Diesel","163 KM","SUV","Brązowy","51900"
"982","Chrysler","Pacifica","2019","50 800 km","3 605 cm3","Benzyna","291 KM","Minivan","Niebieski","156210"
"983","Audi","Q7","2007","158 000 km","3 597 cm3","Benzyna","280 KM","SUV","Czarny","39500"
"984","Toyota","Yaris","2011","160 000 km","1 364 cm3","Diesel","90 KM","Auta miejskie","Czerwony","21900"
"985","Hyundai","i40","2011","238 674 km","1 685 cm3","Diesel","116 KM","Kombi","Szary","32900"
"986","Audi","Q3","2022","5 km","1 498 cm3","Benzyna","149 KM","SUV","Czarny","179599"
"987","BMW","Seria 3","2018","167 000 km","2 993 cm3","Diesel","313 KM","Sedan","Czarny","139700"
"988","Mitsubishi","Lancer","2005","219 000 km","1 584 cm3","Benzyna","98 KM","Kombi","Czarny","6900"
"989","Peugeot","207","2010","279 000 km","1 560 cm3","Diesel","90 KM","Kombi","Niebieski","11900"
"990","Citroën","C4 Grand Picasso","2009","232 000 km","1 560 cm3","Diesel","109 KM","Minivan","Niebieski","14900"
"991","Citroën","C4","2011","235 000 km","1 598 cm3","Benzyna","120 KM","Kompakt","Czarny","22900"
"992","Chevrolet","Impala","1974","60 000 km","5 736 cm3","Benzyna","167 KM","Sedan","Niebieski","64000"
"993","Toyota","Yaris","2002","218 171 km","1 364 cm3","Diesel","75 KM","Kompakt","Niebieski","7500"
"994","Mazda","CX-5","2015","150 570 km","2 191 cm3","Diesel","150 KM","SUV","Brązowy","63000"
"995","Mitsubishi","Lancer","2009","135 055 km","1 798 cm3","Benzyna+LPG","143 KM","Sedan","Czerwony","27000"
"996","Hyundai","Tucson","2018","41 899 km","1 591 cm3","Benzyna","132 KM","SUV","Srebrny","85500"
"997","Fiat","Linea","2007","204 811 km","1 248 cm3","Diesel","90 KM","Sedan","Niebieski","12000"
"998","Renault","Scenic","2008","246 325 km","1 870 cm3","Diesel","130 KM","Minivan","Złoty","11900"
"999","Audi","Q5","2022","5 km","1 968 cm3","Diesel","204 KM","SUV","Biały","218653"
"1000","Mercedes-Benz","EQC","2022","Elektryczny","408 KM","SUV","Szary","391288",NA,NA
"1001","Mercedes-Benz","EQS","2022","Elektryczny","523 KM","Kompakt","Czarny","783564",NA,NA
"1002","Opel","Vectra","2006","256 000 km","1 796 cm3","Benzyna","140 KM","Sedan","Srebrny","14500"
"1003","Renault","Clio","2011","215 695 km","1 149 cm3","Benzyna","75 KM","Kombi","Czarny","22900"
"1004","Audi","A8","2022","5 km","2 967 cm3","Diesel","286 KM","Sedan","Czarny","533856"
"1005","BMW","X4","2015","142 250 km","1 995 cm3","Diesel","190 KM","SUV","Brązowy","129900"
"1006","Audi","Q8","2022","5 km","2 967 cm3","Diesel","286 KM","SUV","Czarny","456312"
"1007","Peugeot","308","2014","214 242 km","1 560 cm3","Diesel","120 KM","Kombi","Beżowy","36900"
"1008","Citroën","C4","2005","226 000 km","1 587 cm3","Benzyna","110 KM","Kompakt","Inny kolor","12600"
"1009","Audi","Q5","2022","5 km","1 968 cm3","Diesel","204 KM","SUV","Szary","278693"
"1010","Peugeot","Expert","2008","248 256 km","1 997 cm3","Diesel","136 KM","Minivan","Srebrny","29900"
"1011","Ford","Transit","2012","288 177 km","2 198 cm3","Diesel","100 KM","Minivan","Granatowy","38000"
"1012","Citroën","C5 Aircross","2019","76 000 km","1 598 cm3","Benzyna","180 KM","SUV","Inny kolor","132900"
"1013","Audi","Q7","2022","5 km","2 995 cm3","Benzyna","340 KM","SUV","Czarny","376176"
"1014","Peugeot","407","2005","245 600 km","1 997 cm3","Diesel","136 KM","Kombi","Szary","10900"
"1015","Peugeot","208","2017","44 000 km","1 199 cm3","Benzyna","110 KM","Auta miejskie","Biały","47000"
"1016","Dacia","Sandero","2019","35 500 km","999 cm3","Benzyna","73 KM","Auta miejskie","Biały","38000"
"1017","Volvo","XC 60","2012","339 000 km","1 984 cm3","Diesel","163 KM","SUV","Czarny","49900"
"1018","Volvo","V70","2014","328 000 km","1 984 cm3","Diesel","163 KM","Kombi","Szary","36900"
"1019","Citroën","C1","2016","156 961 km","998 cm3","Benzyna","69 KM","Kompakt","Biały","27000"
"1020","Peugeot","308","2014","104 779 km","1 598 cm3","Benzyna","125 KM","Kompakt","Srebrny","37000"
"1021","Opel","Vectra","2004","192 473 km","1 910 cm3","Diesel","120 KM","Sedan","Szary","4600"
"1022","Mercedes-Benz","SL","2012","26 326 km","5 461 cm3","Benzyna","585 KM","Kabriolet","Czerwony","4e+05"
"1023","Audi","A3","2007","228 989 km","1 896 cm3","Diesel","105 KM","Kompakt","Czarny","25000"
"1024","Lamborghini","Murcielago","2005","46 950 km","6 193 cm3","Benzyna","580 KM","Coupe","Biały","1626016"
"1025","Mercedes-Benz","Klasa E","2013","25 029 km","5 461 cm3","Benzyna","585 KM","Sedan","Czarny","325203"
"1026","Nissan","Qashqai","2016","140 000 km","1 197 cm3","Benzyna","116 KM","SUV","Biały","59900"
"1027","Hyundai","i40","2015","52 700 km","1 685 cm3","Diesel","141 KM","Sedan","Czarny","58500"
"1028","Citroën","C8","2010","256 000 km","1 997 cm3","Diesel","136 KM","Minivan","Szary","16900"
"1029","Honda","Civic","2004","236 000 km","1 396 cm3","Benzyna","90 KM","Kompakt","Niebieski","8700"
"1030","Opel","Adam","2014","98 500 km","1 398 cm3","Benzyna","87 KM","Auta miejskie","Szary","33000"
"1031","Jeep","Cherokee","2000","133 000 km","3 960 cm3","Benzyna","184 KM","SUV","Czarny","44990"
"1032","Volvo","XC 60","2015","186 000 km","1 969 cm3","Diesel","181 KM","SUV","Biały","81900"
"1033","Peugeot","508","2015","251 000 km","1 560 cm3","Diesel","120 KM","Kombi","Biały","38900"
"1034","Audi","A4","2013","173 000 km","1 968 cm3","Diesel","177 KM","Kombi","Czerwony","54900"
"1035","Lada","2104","1997","190 000 km","1 690 cm3","Benzyna+LPG","59 KM","SUV","Zielony","9000"
"1036","Mazda","3","2016","49 908 km","1 998 cm3","Benzyna","120 KM","Kompakt","Czarny","56000"
"1037","Volkswagen","Golf","2018","80 700 km","1 598 cm3","Diesel","115 KM","Kombi","Srebrny","58500"
"1038","Land Rover","Discovery","1997","350 000 km","2 495 cm3","Diesel","113 KM","SUV","Granatowy","14500"
"1039","BMW","Seria 1","2009","196 895 km","1 995 cm3","Benzyna","143 KM","Kompakt","Czarny","16999"
"1040","Audi","A4","2014","330 000 km","1 968 cm3","Diesel","163 KM","Kombi","Srebrny","48000"
"1041","Volvo","V60","2011","298 000 km","1 560 cm3","Diesel","115 KM","Kombi","Beżowy","30900"
"1042","Volkswagen","Tiguan","2016","135 000 km","1 968 cm3","Diesel","115 KM","SUV","Biały","83900"
"1043","BMW","Seria 5","2014","144 000 km","1 997 cm3","Benzyna","245 KM","Sedan","Inny kolor","79900"
"1044","Volvo","V50","2005","245 805 km","1 998 cm3","Diesel","136 KM","Kombi","Granatowy","10100"
"1045","Renault","Megane","2013","210 841 km","1 598 cm3","Benzyna+LPG","110 KM","Kombi","Srebrny","32000"
"1046","Alfa Romeo","Giulietta","2010","174 000 km","1 368 cm3","Benzyna","170 KM","Kompakt","Czarny","34900"
"1047","Chrysler","Pacifica","2017","63 000 km","3 605 cm3","Benzyna+LPG","292 KM","Minivan","Biały","149900"
"1048","Mitsubishi","Lancer","2009","240 000 km","1 798 cm3","Benzyna","143 KM","Kompakt","Srebrny","24900"
"1049","Audi","A6","2006","215 000 km","1 984 cm3","Benzyna","170 KM","Kombi","Granatowy","13500"
"1050","Renault","Laguna","2007","340 000 km","1 998 cm3","Benzyna","135 KM","Kombi","Inny kolor","8900"
"1051","Opel","Astra","2009","244 000 km","1 598 cm3","Benzyna","105 KM","Coupe","Szary","14999"
"1052","Mercedes-Benz","W124 (1984-1993)","1993","452 500 km","2 500 cm3","Diesel","90 KM","Sedan","Niebieski","10000"
"1053","Opel","Combo","2008","131 000 km","1 248 cm3","Diesel","75 KM","Minivan","Srebrny","14000"
"1054","Audi","Q5","2011","190 000 km","1 984 cm3","Benzyna","211 KM","SUV","Biały","52900"
"1055","Chevrolet","Captiva","2008","201 274 km","1 991 cm3","Diesel","150 KM","SUV","Srebrny","23800"
"1056","Skoda","Superb","2011","291 000 km","1 968 cm3","Diesel","140 KM","Kombi","Granatowy","27900"
"1057","Audi","A7","2013","179 000 km","2 773 cm3","Benzyna","204 KM","Sedan","Szary","89900"
"1058","Volkswagen","Passat","2017","148 622 km","1 968 cm3","Diesel","150 KM","Sedan","Szary","67900"
"1059","Dacia","Sandero","2018","92 634 km","999 cm3","Benzyna","73 KM","Auta miejskie","Szary","35500"
"1060","Kia","Sportage","2017","132 900 km","1 591 cm3","Benzyna","177 KM","SUV","Czarny","79900"
"1061","Seat","Leon","2020","33 373 km","1 498 cm3","Benzyna","150 KM","Kompakt","Czerwony","92500"
"1062","Toyota","Avensis","2012","109 745 km","1 987 cm3","Benzyna","152 KM","Sedan","Niebieski","47800"
"1063","Renault","Captur","2017","15 739 km","898 cm3","Benzyna","90 KM","SUV","Niebieski","49000"
"1064","Citroën","C3","2009","175 104 km","1 124 cm3","Benzyna","60 KM","Kompakt","Srebrny","12000"
"1065","Nissan","Note","2008","156 070 km","1 386 cm3","Benzyna","88 KM","Kompakt","Beżowy","17000"
"1066","Seat","Leon","2018","148 492 km","1 197 cm3","Benzyna","85 KM","Kombi","Srebrny","44900"
"1067","BMW","X5","2016","173 500 km","2 993 cm3","Diesel","258 KM","SUV","Biały","169900"
"1068","Kia","Sportage","2022","17 653 km","1 598 cm3","Benzyna","180 KM","SUV","Czarny","176900"
"1069","Opel","Insignia","2011","181 000 km","1 956 cm3","Diesel","130 KM","Kombi","Srebrny","23900"
"1070","Hyundai","ix35","2011","241 000 km","1 995 cm3","Diesel","184 KM","SUV","Biały","45900"
"1071","Renault","Megane","2017","176 200 km","1 598 cm3","Diesel","130 KM","Kombi","Biały","56900"
"1072","Volvo","XC 60","2016","117 758 km","1 969 cm3","Diesel","150 KM","SUV","Szary","87900"
"1073","Volvo","V40","2016","159 543 km","1 969 cm3","Diesel","120 KM","Kompakt","Szary","50900"
"1074","Toyota","Auris","2013","154 336 km","1 329 cm3","Benzyna","100 KM","Kompakt","Czerwony","38900"
"1075","Suzuki","SX4 S-Cross","2016","89 968 km","1 586 cm3","Benzyna","120 KM","SUV","Biały","53300"
"1076","Suzuki","SX4","2010","47 166 km","1 586 cm3","Benzyna","120 KM","SUV","Szary","31900"
"1077","Renault","Captur","2014","113 667 km","1 197 cm3","Benzyna","120 KM","SUV","Czarny","48800"
"1078","Audi","A8","2008","222 500 km","2 967 cm3","Diesel","233 KM","Sedan","Inny kolor","38200"
"1079","Mercedes-Benz","Klasa E","2005","288 700 km","4 966 cm3","Benzyna","306 KM","Kombi","Srebrny","28900"
"1080","Honda","Accord","2007","169 000 km","1 998 cm3","Benzyna","155 KM","Sedan","Brązowy","26900"
"1081","Hyundai","Kona","2022","1 km","998 cm3","Benzyna","120 KM","SUV","Szary","102800"
"1082","Skoda","Octavia","2009","290 000 km","1 798 cm3","Benzyna+LPG","160 KM","Kombi","Czarny","21500"
"1083","Ford","Focus","2018","128 266 km","999 cm3","Benzyna","125 KM","Kompakt","Szary","59900"
"1084","Mercedes-Benz","Klasa C","2008","242 000 km","1 796 cm3","Benzyna","156 KM","Sedan","Srebrny","32000"
"1085","Opel","Grandland","2022","1 km","1 499 cm3","Diesel","130 KM","SUV","Biały","149000"
"1086","Dacia","Duster","2018","85 000 km","1 461 cm3","Diesel","109 KM","SUV","Czarny","53900"
"1087","Opel","Meriva","2013","204 423 km","1 364 cm3","Benzyna+LPG","120 KM","Minivan","Czarny","29900"
"1088","Volkswagen","Passat","2016","145 028 km","1 395 cm3","Benzyna","125 KM","Kombi","Srebrny","63900"
"1089","Seat","Leon","2018","93 418 km","1 197 cm3","Benzyna","86 KM","Auta miejskie","Fioletowy","50900"
"1090","Hyundai","Tucson","2017","102 026 km","1 591 cm3","Benzyna","177 KM","SUV","Brązowy","80900"
"1091","Mercedes-Benz","GLA","2019","41 702 km","1 595 cm3","Benzyna","156 KM","SUV","Czarny","129900"
"1092","Volkswagen","Golf","2017","125 066 km","1 395 cm3","Benzyna","150 KM","Kompakt","Biały","77900"
"1093","Opel","Crossland X","2022","1 km","1 199 cm3","Benzyna","82 KM","SUV","Szary","76900"
"1094","Lexus","LX","2008","111 696 km","5 663 cm3","Benzyna+LPG","383 KM","SUV","Srebrny","147500"
"1095","Fiat","Grande Punto","2007","224 500 km","1 248 cm3","Diesel","90 KM","Auta miejskie","Pomarańczowy","9000"
"1096","Kia","Picanto","2022","50 km","1 197 cm3","Benzyna","84 KM","Auta małe","Pomarańczowy","58800"
"1097","Hyundai","I30","2007","231 000 km","1 582 cm3","Diesel","90 KM","Kompakt","Czerwony","16900"
"1098","Opel","Crossland X","2022","1 km","1 199 cm3","Benzyna","130 KM","SUV","Srebrny","95700"
"1099","BMW","Seria 3","2010","250 135 km","1 995 cm3","Diesel","136 KM","Sedan","Srebrny","27000"
"1100","Renault","Captur","2014","34 745 km","1 197 cm3","Benzyna","120 KM","SUV","Beżowy","53000"
"1101","BMW","X3","2007","200 000 km","2 996 cm3","Benzyna","272 KM","SUV","Czarny","33900"
"1102","Audi","Q3","2012","371 893 km","1 968 cm3","Diesel","177 KM","SUV","Czarny","59900"
"1103","BMW","Seria 2","2019","136 000 km","1 499 cm3","Hybryda","136 KM","Minivan","Biały","99900"
"1104","Jeep","Compass","2017","89 370 km","1 956 cm3","Diesel","140 KM","SUV","Biały","89900"
"1105","Volkswagen","Passat","2017","214 023 km","1 395 cm3","Benzyna","150 KM","Kombi","Szary","99900"
"1106","Alfa Romeo","Tonale","2022","5 km","1 469 cm3","Hybryda","160 KM","SUV","Czerwony","181900"
"1107","Lancia","Delta","2008","197 727 km","1 368 cm3","Benzyna","120 KM","Kompakt","Szary","22900"
"1108","Skoda","Superb","2015","148 000 km","1 968 cm3","Diesel","170 KM","Kombi","Brązowy","67999"
"1109","Mercedes-Benz","Klasa E","2007","253 327 km","5 461 cm3","Benzyna","388 KM","Kombi","Beżowy","59000"
"1110","Volkswagen","Touran","2014","161 000 km","1 968 cm3","Diesel","140 KM","Minivan","Czarny","49800"
"1111","Ford","EDGE","2019","40 000 km","1 997 cm3","Diesel","210 KM","SUV","Szary","139000"
"1112","Kia","Carens","2014","231 500 km","1 685 cm3","Diesel","115 KM","Minivan","Szary","40900"
"1113","Mitsubishi","Outlander","2006","234 800 km","1 997 cm3","Benzyna+LPG","136 KM","SUV","Srebrny","22900"
"1114","Ford","Focus","2011","252 380 km","1 560 cm3","Diesel","90 KM","Kompakt","Czarny","17900"
"1115","Mercedes-Benz","Klasa E","2010","290 000 km","2 143 cm3","Diesel","136 KM","Sedan","Srebrny","46000"
"1116","Citroën","C4 Cactus","2015","84 801 km","1 199 cm3","Benzyna","82 KM","Kompakt","Czerwony","42200"
"1117","Mercedes-Benz","Klasa C","2006","209 948 km","2 148 cm3","Diesel","150 KM","Kombi","Czarny","19000"
"1118","Peugeot","207","2009","168 119 km","1 397 cm3","Benzyna+LPG","95 KM","Kombi","Szary","18000"
"1119","Fiat","Sedici","2008","255 000 km","1 910 cm3","Diesel","120 KM","SUV","Zielony","15700"
"1120","Seat","Altea","2008","263 900 km","1 968 cm3","Diesel","140 KM","Minivan","Bordowy","18900"
"1121","Suzuki","SX4","2006","210 000 km","1 586 cm3","Benzyna","107 KM","Kompakt","Czarny","18900"
"1122","Volkswagen","Crafter","2007","430 000 km","2 461 cm3","Diesel","136 KM","Minivan","Biały","40590"
"1123","Opel","Insignia","2012","135 000 km","2 792 cm3","Benzyna+LPG","260 KM","Kombi","Szary","43000"
"1124","BMW","Seria 3","2018","22 825 km","1 998 cm3","Benzyna","184 KM","Sedan","Biały","97000"
"1125","Fiat","Freemont","2013","170 000 km","1 956 cm3","Diesel","140 KM","SUV","Granatowy","41900"
"1126","Hyundai","ix35","2013","159 000 km","1 591 cm3","Benzyna","135 KM","SUV","Srebrny","48500"
"1127","Nissan","Qashqai","2007","188 600 km","1 997 cm3","Benzyna","141 KM","SUV","Czarny","28900"
"1128","Ford","Focus","2005","240 000 km","1 596 cm3","Benzyna","100 KM","Kombi","Biały","11500"
"1129","BMW","Seria 3","2016","111 500 km","2 998 cm3","Benzyna","326 KM","Sedan","Czarny","112900"
"1130","BMW","Seria 3","2002","178 680 km","1 796 cm3","Benzyna","115 KM","Kompakt","Czarny","8900"
"1131","Audi","Q5","2012","194 000 km","1 968 cm3","Diesel","170 KM","SUV","Inny kolor","74900"
"1132","BMW","X4","2016","51 000 km","1 997 cm3","Benzyna","245 KM","SUV","Czarny","132900"
"1133","Alfa Romeo","Giulia","2019","52 000 km","1 995 cm3","Benzyna","200 KM","Sedan","Biały","119900"
"1134","Alfa Romeo","Stelvio","2019","69 000 km","1 995 cm3","Benzyna","280 KM","SUV","Czarny","119900"
"1135","BMW","Seria 3","2012","118 000 km","2 979 cm3","Benzyna","306 KM","Sedan","Szary","80000"
"1136","Volkswagen","Golf","2006","210 000 km","1 390 cm3","Benzyna","80 KM","Kompakt","Czarny","10900"
"1137","Seat","Leon","2007","194 000 km","1 984 cm3","Benzyna","200 KM","Kompakt","Czarny","21900"
"1138","Hyundai","Matrix","2007","215 750 km","1 599 cm3","Benzyna","103 KM","Minivan","Inny kolor","9700"
"1139","Renault","Espace","2004","283 000 km","1 998 cm3","Benzyna+LPG","165 KM","Minivan","Szary","13700"
"1140","MINI","Cooper S","2002","239 985 km","1 598 cm3","Benzyna","163 KM","Auta miejskie","Zielony","14999"
"1141","Volkswagen","Golf","2016","121 937 km","1 395 cm3","Benzyna","125 KM","Kompakt","Czarny","62900"
"1142","Mazda","6","2006","258 800 km","1 998 cm3","Diesel","121 KM","Kombi","Srebrny","8900"
"1143","Audi","A6","2018","179 000 km","1 968 cm3","Diesel","190 KM","Sedan","Czarny","105600"
"1144","Skoda","Superb","2019","102 287 km","1 968 cm3","Diesel","190 KM","Sedan","Szary","157500"
"1145","Fiat","Panda","2008","180 000 km","1 108 cm3","Benzyna","54 KM","Auta małe","Żółty","6500"
"1146","Honda","Civic","2008","272 000 km","2 204 cm3","Diesel","140 KM","Kompakt","Czarny","18900"
"1147","Volkswagen","Tiguan","2019","41 555 km","1 984 cm3","Benzyna","190 KM","SUV","Błękitny","76400"
"1148","Renault","Scenic","2006","169 000 km","1 598 cm3","Benzyna","115 KM","Minivan","Szary","11999"
"1149","Opel","Zafira","2008","301 000 km","1 910 cm3","Diesel","120 KM","Minivan","Srebrny","9600"
"1150","Volkswagen","Golf Plus","2006","150 000 km","1 896 cm3","Diesel","105 KM","Minivan","Srebrny","14900"
"1151","Volkswagen","Transporter","2012","290 000 km","1 968 cm3","Diesel","140 KM","Minivan","Biały","45510"
"1152","Peugeot","307","2006","306 700 km","1 560 cm3","Diesel","110 KM","Kombi","Niebieski","8900"
"1153","Volkswagen","Golf","2008","265 000 km","1 896 cm3","Diesel","105 KM","Kombi","Szary","16900"
"1154","Nissan","Note","2008","250 000 km","1 461 cm3","Diesel","86 KM","Auta miejskie","Biały","10900"
"1155","Audi","Q7","2015","157 000 km","2 967 cm3","Diesel","272 KM","SUV","Biały","166900"
"1156","Ford","Focus","2015","221 967 km","1 498 cm3","Diesel","120 KM","Kombi","Czarny","38900"
"1157","Peugeot","301","2016","167 517 km","1 560 cm3","Diesel","100 KM","Sedan","Biały","27400"
"1158","Opel","Mokka","2014","87 152 km","1 364 cm3","Benzyna","140 KM","SUV","Brązowy","53100"
"1159","Nissan","Juke","2013","100 761 km","1 598 cm3","Benzyna","117 KM","SUV","Biały","40000"
"1160","Kia","Carens","2014","127 086 km","1 685 cm3","Diesel","115 KM","Minivan","Niebieski","42200"
"1161","Fiat","Tipo","2017","76 338 km","1 368 cm3","Benzyna","95 KM","Kompakt","Biały","43200"
"1162","Toyota","Yaris","2009","289 500 km","1 364 cm3","Diesel","90 KM","Auta miejskie","Granatowy","14900"
"1163","Ford","S-Max","2014","176 459 km","1 997 cm3","Diesel","140 KM","Minivan","Inny kolor","46900"
"1164","Toyota","Auris","2016","82 265 km","1 798 cm3","Hybryda","99 KM","Kompakt","Srebrny","76900"
"1165","Volkswagen","Garbus","1985","10 000 km","1 300 cm3","Benzyna","30 KM","Kabriolet","Inny kolor","5500"
"1166","Mercedes-Benz","Klasa E","2012","205 000 km","2 987 cm3","Diesel","265 KM","Coupe","Szary","79900"
"1167","Volkswagen","Sharan","2001","220 000 km","1 896 cm3","Diesel","115 KM","Minivan","Niebieski","3400"
"1168","Volvo","XC 90","2004","207 000 km","2 521 cm3","Benzyna","210 KM","SUV","Granatowy","33900"
"1169","Opel","Antara","2009","246 323 km","1 991 cm3","Diesel","150 KM","SUV","Szary","27800"
"1170","Toyota","Tercel","1979","81 804 km","1 279 cm3","Benzyna","65 KM","Auta miejskie","Inny kolor","15900"
"1171","Fiat","Inny","1961","79 600 km","1 295 cm3","Benzyna","65 KM","Sedan","Niebieski","25900"
"1172","Kia","Venga","2010","180 560 km","1 396 cm3","Diesel","90 KM","Auta miejskie","Szary","22000"
"1173","Fiat","Panda","2007","141 000 km","1 242 cm3","Benzyna","60 KM","Auta małe","Czerwony","10900"
"1174","BMW","Seria 6","2006","263 000 km","4 799 cm3","Benzyna","367 KM","Coupe","Czarny","42500"
"1175","Audi","A4","2013","129 670 km","1 798 cm3","Benzyna","170 KM","Kombi","Czarny","64700"
