"id","Marka_pojazdu","Model_pojazdu","Rok_produkcji","Przebieg","Pojemność_skokowa","Rodzaj_paliwa","Moc","Typ_nadwozia","Kolor","Cena"
"313","Hyundai","i40","2014","175 200 km","1 685 cm3","Diesel","116 KM","Auta miejskie","Szary","42900"
"314","Porsche","Macan","2016","69 000 km","2 997 cm3","Benzyna","340 KM","SUV","Brązowy","195000"
"315","Volvo","V40","2014","192 000 km","1 560 cm3","Diesel","115 KM","Kompakt","Szary","39900"
"316","BMW","Seria 5","2005","278 000 km","2 497 cm3","Benzyna","218 KM","Kombi","Szary","31500"
"317","MINI","Countryman","2012","71 000 km","1 995 cm3","Diesel","112 KM","SUV","Czarny","43900"
"318","Dodge","Journey","2013","128 809 km","3 600 cm3","Benzyna+LPG","287 KM","SUV","Beżowy","48000"
"319","Renault","Scenic","1998","249 250 km","1 998 cm3","Benzyna","140 KM","Minivan","Zielony","3900"
"320","Volvo","V50","2008","204 000 km","1 560 cm3","Diesel","109 KM","Kombi","Czarny","19500"
"321","Audi","A4","2003","245 000 km","2 393 cm3","Benzyna+LPG","170 KM","Sedan","Srebrny","14900"
"322","Opel","Astra","2006","147 469 km","1 598 cm3","Benzyna","105 KM","Kombi","Srebrny","14900"
"323","Opel","Insignia","2011","215 781 km","1 998 cm3","Benzyna+LPG","220 KM","Kombi","Srebrny","34700"
"324","Volvo","S80","2007","152 767 km","2 521 cm3","Benzyna","200 KM","Sedan","Złoty","22900"
"325","Ford","Focus","2017","126 000 km","2 000 cm3","Benzyna","160 KM","Auta miejskie","Złoty","43000"
"326","Mercedes-Benz","AMG GT","2015","33 000 km","3 982 cm3","Benzyna","510 KM","Coupe","Bordowy","467999"
"327","Honda","Accord","2007","198 000 km","1 998 cm3","Benzyna","155 KM","Sedan","Srebrny","23550"
"328","Volkswagen","Golf","2003","156 500 km","1 598 cm3","Benzyna","105 KM","Kompakt","Złoty","11000"
"329","Volkswagen","Passat","2007","320 000 km","1 968 cm3","Diesel","140 KM","Sedan","Niebieski","17900"
"330","Fiat","Doblo","2011","248 000 km","1 248 cm3","Diesel","90 KM","Minivan","Biały","19000"
"331","Honda","Jazz","2012","77 800 km","1 198 cm3","Benzyna","90 KM","Auta miejskie","Biały","29900"
"332","Hyundai","Tucson","2019","35 600 km","1 591 cm3","Benzyna","132 KM","SUV","Szary","92000"
"333","Ford","S-Max","2006","224 000 km","2 521 cm3","Benzyna","220 KM","Minivan","Czarny","18999"
"334","Toyota","Auris","2009","268 287 km","1 364 cm3","Diesel","90 KM","Kompakt","Biały","16300"
"335","Citroën","C5","2011","305 000 km","1 997 cm3","Diesel","163 KM","Kombi","Czarny","23000"
"336","Chevrolet","Trax","2013","177 268 km","1 598 cm3","Benzyna+LPG","115 KM","SUV","Brązowy","37000"
"337","Suzuki","Baleno","2016","121 807 km","1 248 cm3","Benzyna","90 KM","Kompakt","Biały","34000"
"338","Citroën","Berlingo","2015","293 000 km","1 560 cm3","Diesel","99 KM","Minivan","Szary","34800"
"339","Audi","A3","2016","122 000 km","1 598 cm3","Diesel","110 KM","Kompakt","Szary","62500"
"340","Porsche","718 Cayman","2021","27 700 km","3 995 cm3","Benzyna","400 KM","Coupe","Żółty","532000"
"341","Toyota","RAV4","2008","141 000 km","2 231 cm3","Diesel","177 KM","SUV","Czarny","35000"
"342","BMW","Seria 3","1999","265 500 km","1 895 cm3","Benzyna+LPG","118 KM","Sedan","Granatowy","7200"
"343","Renault","Clio","2005","93 000 km","1 149 cm3","Benzyna","75 KM","Auta miejskie","Srebrny","8700"
"344","Hyundai","I30","2020","33 500 km","1 498 cm3","Benzyna","110 KM","Kombi","Bordowy","72000"
"345","Citroën","C5","2010","191 000 km","1 997 cm3","Diesel","140 KM","Kombi","Niebieski","24990"
"346","Hyundai","i40","2013","149 000 km","1 685 cm3","Diesel","116 KM","Kombi","Czarny","44900"
"347","Volvo","V50","2009","271 000 km","1 998 cm3","Diesel","136 KM","Kombi","Bordowy","19900"
"348","Renault","Clio","2016","43 000 km","1 461 cm3","Diesel","75 KM","Auta miejskie","Biały","33900"
